"Customer Shipment Date","Merchant SKU","FNSKU","ASIN","FC","Quantity","Amazon Order Id","Currency","Product Amount","Shipping Amount","Gift Amount","Shipment To City","Shipment To State","Shipment To Postal Code"
"2024-04-30T10:09:18+05:30","1K-FDUR-VSJX","X0013JH1VB","1949395243","BLR7","1","404-8828889-1347545","INR","474.05","40.00","0.00","CHENNAI","TAMIL NADU","600115"
"2024-04-30T09:09:10+05:30","HL-3VCQ-ER17","X001QZEDBD","1636511694","HYD8","1","403-0503389-4192300","INR","1999.00","40.00","0.00","DURGAPUR","WEST BENGAL","713216"
"2024-04-30T04:51:36+05:30","1M-WO07-G93U","X0017PANTN","B08DXQXXY7","BOM5","1","405-0713810-0657944","INR","474.05","40.00","0.00","Thane","MAHARASHTRA","400612"
"2024-04-30T04:47:10+05:30","O4-BRI2-U3HG","X001Q7L94P","163651037X","DEL4","1","408-3672369-5170729","INR","474.05","40.00","0.00","RAIPUR","CHHATTISGARH","492001"
"2024-04-30T04:28:16+05:30","3O-7GIY-GAIA","X0017F0ZZ5","1949395839","DEL5","1","408-3672369-5170729","INR","474.05","40.00","0.00","RAIPUR","CHHATTISGARH","492001"
"2024-04-30T04:24:05+05:30","3O-7GIY-GAIA","X0017F0ZZ5","1949395839","LKO1","1","407-5182391-5082748","INR","474.05","40.00","0.00","PATNA","BIHAR","800020"
"2024-04-30T03:42:57+05:30","0O-82XT-PSML","X000Q2V1GR","1946383066","BLR8","1","406-0976730-5877151","INR","379.05","0.00","0.00","KOTTIYAM","KERALA","691571"
"2024-04-30T03:29:10+05:30","TI-UGI2-MRSG","X001AXM9YJ","1636510027","AMD2","1","405-5939913-6989962","INR","399.00","40.00","0.00","DABHOI","GUJARAT","391110"
"2024-04-30T02:53:03+05:30","3O-7GIY-GAIA","X0017F0ZZ5","1949395839","DEL4","1","406-2973358-0834756","INR","474.05","40.00","0.00","CHANGODAR GIDC","GUJARAT","382213"
"2024-04-30T02:53:03+05:30","1N-Z5TG-L8OO","X001D66I09","1636510345","DEL4","1","406-2973358-0834756","INR","474.05","40.00","0.00","CHANGODAR GIDC","GUJARAT","382213"
"2024-04-30T02:40:13+05:30","15-KVM1-4SWU","X00176YALT","1949395774","BOM7","1","402-3426368-0890767","INR","474.05","40.00","0.00","PUNE","MAHARASHTRA","411030"
"2024-04-30T02:40:13+05:30","FN-3LTG-MUJQ","X001Q7HU43","1636510744","BOM7","1","402-3426368-0890767","INR","399.00","40.00","0.00","PUNE","MAHARASHTRA","411030"
"2024-04-30T01:50:09+05:30","1T-VT5B-1S8D","X001QW0E1T","1636511597","MAA4","1","171-9471993-0289132","INR","616.55","40.00","0.00","KOLKATA","WEST BENGAL","700031"
"2024-04-30T01:17:12+05:30","CO-QCPV-SEI3","X001CLRRT1","1636510310","BLR8","1","404-6886906-6972320","INR","474.05","0.00","0.00","BENGALURU","KARNATAKA","560062"
"2024-04-30T01:09:18+05:30","D6-ZTC4-956S","X001QQJDKN","1636511570","DEL5","1","171-0639989-4733115","INR","806.55","0.00","0.00","tellapur","Telangana","502032"
"2024-04-30T00:57:57+05:30","15-KVM1-4SWU","X00176YALT","1949395774","BOM5","1","408-8685713-8972336","INR","474.05","0.00","0.00","MUMBAI","MAHARASHTRA","400068"
"2024-04-30T00:41:52+05:30","UV-H62O-CANV","X001RWEAVX","1636511600","DEL4","1","407-2826951-3854729","INR","399.00","0.00","0.00","RUDRAPUR","UTTARAKHAND","263153"
"2024-04-29T23:44:12+05:30","1K-FDUR-VSJX","X0013JH1VB","1949395243","BOM5","1","403-8539920-2941110","INR","474.05","0.00","0.00","Mumbai","MAHARASHTRA","400019"
"2024-04-29T21:52:33+05:30","76-T7QB-EMML","X001FQF26D","1636510477","DEL4","1","403-2146670-1696324","INR","1179.00","0.00","0.00","JAIPUR","RAJASTHAN","302029"
"2024-04-29T21:46:54+05:30","3O-7GIY-GAIA","X0017F0ZZ5","1949395839","LKO1","1","407-9887651-1592354","INR","474.05","40.00","0.00","KOLKATA","WEST BENGAL","700065"
"2024-04-29T21:24:14+05:30","MG-XOI5-NSRF","X001Y99HD5","1636512186","HYD8","1","403-9669318-6186703","INR","399.00","40.00","0.00","HYDERABAD","TELANGANA","500049"
"2024-04-29T20:22:15+05:30","3O-7GIY-GAIA","X0017F0ZZ5","1949395839","DEL5","1","408-8656693-1538739","INR","474.05","0.00","0.00","NEW DELHI","DELHI","110028"
"2024-04-29T20:01:12+05:30","COMBO-TPS-2","X001E1U4XF","1636510434","DEL4","1","171-2836518-0249157","INR","4179.05","99.00","0.00","GURUGRAM","HARYANA","122011"
