"Customer Shipment Date","Merchant SKU","FNSKU","ASIN","FC","Quantity","Amazon Order Id","Currency","Product Amount","Shipping Amount","Gift Amount","Shipment To City","Shipment To State","Shipment To Postal Code"
"2025-06-30T23:41:00+05:30","LP-HVAU-WGNO","X002895N3D","1636513352","BOM7","1","402-6682826-6665934","INR","744.00","0.00","0.00","MUMBAI","maharashtra","400059"
"2025-06-30T22:57:13+05:30","03-NWK0-6I3X","X001IF8NA3","163651071X","MAA4","1","406-9699064-7888333","INR","498.00","0.00","0.00","Chennai","TAMIL NADU","600074"
"2025-06-30T22:23:06+05:30","D8-RLCZ-ZOUR","X001QVXAQV","1636511589","DEL5","1","171-2681315-9126754","INR","635.00","99.00","0.00","NEW DELHI","DELHI","110025"
"2025-06-30T21:47:38+05:30","L2-74Q5-MRU2","X001ADBDZZ","1636510051","BOM7","1","405-2330034-0634748","INR","498.00","0.00","0.00","Hyderabad","TELANGANA","500059"
"2025-06-30T20:37:11+05:30","BT-ZM1Q-U1KE","X001P5GZZV","1636511546","CCX2","1","406-1112955-9659509","INR","498.00","0.00","0.00","PHULBANI","ODISHA","762001"
"2025-06-30T20:07:16+05:30","15-KVM1-4SWU","X00176YALT","1949395774","DEL4","1","171-9518727-3829161","INR","498.00","0.00","0.00","Sant Kabir nagar","UTTAR PRADESH","272125"
"2025-06-30T18:25:37+05:30","CW-JKAK-N2VV","X001PKZXBN","1636511511","BOM5","1","402-6572208-7976353","INR","498.00","0.00","0.00","NAVI MUMBAI","MAHARASHTRA","400708"
"2025-06-30T18:02:13+05:30","EH-7EWZ-TT1N","X001PF28E3","1636511481","LKO1","1","408-7832086-3992367","INR","499.00","0.00","0.00","BENGALURU","KARNATAKA","560036"
"2025-06-30T17:39:14+05:30","1K-FDUR-VSJX","X0013JH1VB","1949395243","CJB1","1","405-3110363-8412327","INR","498.00","40.00","0.00","BENGALURU","KARNATAKA","560068"
"2025-06-30T17:34:34+05:30","6M-VN2C-K1SE","X0026WO2PR","1636512933","BLR7","1","402-5705617-1173960","INR","498.00","0.00","0.00","CHENNAI","TAMIL NADU","600056"
"2025-06-30T17:16:37+05:30","HL-3VCQ-ER17","X001QZEDBD","1636511694","HYD8","1","407-7486316-4587555","INR","1897.00","0.00","0.00","HYDERABAD","TELANGANA","500032"
"2025-06-30T16:37:38+05:30","COMBO-TPS-4","X001E1U4XP","1636510426","HYD8","1","404-6298931-0110758","INR","2752.00","40.00","0.00","HYDERABAD","TELANGANA","500032"
"2025-06-30T15:09:35+05:30","8F-XEKV-7H28","X001FQJZO3","1636510450","MAA4","1","408-8074167-5380309","INR","975.00","0.00","0.00","CHENNAI","TAMIL NADU","600061"
"2025-06-30T14:09:14+05:30","15-KVM1-4SWU","X00176YALT","1949395774","BOM7","1","407-8798633-8489120","INR","498.00","0.00","0.00","Ernakulam","KERALA","682016"
"2025-06-30T13:41:31+05:30","HL-3VCQ-ER17","X001QZEDBD","1636511694","TQBF","1","407-0114891-2110768","INR","1897.00","0.00","0.00","PUNE","MAHARASHTRA","411057"
"2025-06-30T13:33:41+05:30","1K-FDUR-VSJX","X0013JH1VB","1949395243","CJB1","1","407-6986898-8908325","INR","498.00","0.00","0.00","Ernakulam","KERALA","682016"
